Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier
1,7.117,333057,16186,718,0,1000,0.100,0.050,1.000,1.014,0
2,7.750,361785,17624,838,1,1000,0.100,0.050,1.000,1.016,1
3,10.247,475650,23303,1030,2,1000,0.100,0.050,1.000,1.021,2
4,10.052,466777,22861,1021,3,1000,0.100,0.050,1.000,1.017,3
5,10.154,471383,23092,1065,4,1000,0.100,0.050,1.000,1.016,4
6,9.264,430977,21069,952,5,1000,0.100,0.050,1.000,1.020,5
7,9.906,459997,22529,1106,6,1000,0.100,0.050,1.000,1.022,6
8,9.555,444485,21729,933,7,1000,0.100,0.050,1.000,1.019,7
9,10.607,491982,24122,1138,8,1000,0.100,0.050,1.000,1.014,8
10,15.349,708045,34906,1739,9,1000,0.100,0.050,1.000,1.028,9
1,10.271,492873,24170,1140,0,1000,0.100,0.050,1.000,1.022,0
2,10.542,505447,24806,1162,1,1000,0.100,0.050,1.000,1.015,1
3,8.497,409378,19994,887,2,1000,0.100,0.050,1.000,1.016,2
4,7.560,365818,17791,791,3,1000,0.100,0.050,1.000,1.021,3
5,10.108,485652,23786,1105,4,1000,0.100,0.050,1.000,1.016,4
6,8.977,432159,21125,945,5,1000,0.100,0.050,1.000,1.020,5
7,10.584,507618,24907,1197,6,1000,0.100,0.050,1.000,1.014,6
8,10.734,514435,25260,1181,7,1000,0.100,0.050,1.000,1.024,7
9,11.843,566452,27868,1315,8,1000,0.100,0.050,1.000,1.023,8
10,10.883,521669,25610,1199,9,1000,0.100,0.050,1.000,1.018,9
1,8.648,384297,18742,840,0,1000,0.100,0.050,1.000,1.014,0
2,8.848,392981,19174,910,1,1000,0.100,0.050,1.000,1.027,1
3,8.082,359664,17515,765,2,1000,0.100,0.050,1.000,1.015,2
4,10.996,486319,23831,1036,3,1000,0.100,0.050,1.000,1.023,3
5,10.843,479690,23499,1069,4,1000,0.100,0.050,1.000,1.017,4
6,10.126,448535,21944,992,5,1000,0.100,0.050,1.000,1.027,5
7,10.199,451717,22102,972,6,1000,0.100,0.050,1.000,1.018,6
8,9.847,436507,21341,982,7,1000,0.100,0.050,1.000,1.019,7
9,7.915,352299,17153,737,8,1000,0.100,0.050,1.000,1.017,8
10,14.496,638026,31414,1505,9,1000,0.100,0.050,1.000,1.026,9
1,7.909,344511,16753,784,0,1000,0.100,0.050,1.000,1.020,0
2,10.430,451013,22092,1049,1,1000,0.100,0.050,1.000,1.027,1
3,10.418,450881,22067,1042,2,1000,0.100,0.050,1.000,1.020,2
4,11.231,485259,23788,1097,3,1000,0.100,0.050,1.000,1.020,3
5,10.862,469584,23007,1075,4,1000,0.100,0.050,1.000,1.020,4
6,8.124,353256,17208,747,5,1000,0.100,0.050,1.000,1.015,5
7,9.167,397910,19417,852,6,1000,0.100,0.050,1.000,1.018,6
8,10.802,467357,22880,1109,7,1000,0.100,0.050,1.000,1.021,7
9,10.715,463444,22696,1038,8,1000,0.100,0.050,1.000,1.014,8
10,10.341,447833,21903,1031,9,1000,0.100,0.050,1.000,1.025,9
1,8.072,364683,17759,804,0,1000,0.100,0.050,1.000,1.020,0
2,9.925,446196,21834,1098,1,1000,0.100,0.050,1.000,1.015,1
3,7.717,348880,16978,778,2,1000,0.100,0.050,1.000,1.017,2
4,10.219,458843,22481,1050,3,1000,0.100,0.050,1.000,1.021,3
5,10.758,482862,23668,1022,4,1000,0.100,0.050,1.000,1.016,4
6,11.790,528315,25938,1205,5,1000,0.100,0.050,1.000,1.017,5
7,10.140,455833,22308,984,6,1000,0.100,0.050,1.000,1.019,6
8,8.923,401930,19630,929,7,1000,0.100,0.050,1.000,1.022,7
9,11.225,503304,24695,1135,8,1000,0.100,0.050,1.000,1.024,8
10,11.231,503441,24709,1120,9,1000,0.100,0.050,1.000,1.027,9
1,9.629,424804,20773,981,0,1000,0.100,0.050,1.000,1.025,0
2,8.468,374742,18269,825,1,1000,0.100,0.050,1.000,1.019,1
3,7.920,350966,17087,747,2,1000,0.100,0.050,1.000,1.018,2
4,9.609,424303,20730,1004,3,1000,0.100,0.050,1.000,1.019,3
5,10.849,477857,23406,1091,4,1000,0.100,0.050,1.000,1.017,4
6,8.747,387184,18870,858,5,1000,0.100,0.050,1.000,1.016,5
7,13.529,593313,29188,1367,6,1000,0.100,0.050,1.000,1.028,6
8,10.374,456905,22381,1073,7,1000,0.100,0.050,1.000,1.018,7
9,8.044,356745,17355,802,8,1000,0.100,0.050,1.000,1.012,8
10,12.832,563362,27683,1296,9,1000,0.100,0.050,1.000,1.019,9
1,8.039,407813,19922,893,0,1000,0.100,0.050,1.000,1.018,0
2,10.346,522566,25638,1247,1,1000,0.100,0.050,1.000,1.022,1
3,9.945,502576,24645,1134,2,1000,0.100,0.050,1.000,1.019,2
4,11.355,572515,28138,1300,3,1000,0.100,0.050,1.000,1.020,3
5,10.807,545225,26780,1278,4,1000,0.100,0.050,1.000,1.020,4
6,9.700,490009,24037,1168,5,1000,0.100,0.050,1.000,1.022,5
7,10.163,513355,25184,1191,6,1000,0.100,0.050,1.000,1.016,6
8,11.716,589920,29032,1321,7,1000,0.100,0.050,1.000,1.026,7
9,7.544,383687,18695,797,8,1000,0.100,0.050,1.000,1.014,8
10,10.385,524450,25735,1182,9,1000,0.100,0.050,1.000,1.032,9
1,11.047,509226,24994,1186,0,1000,0.100,0.050,1.000,1.026,0
2,8.673,402024,19623,962,1,1000,0.100,0.050,1.000,1.017,1
3,9.925,458508,22454,1061,2,1000,0.100,0.050,1.000,1.025,2
4,10.456,482431,23656,1048,3,1000,0.100,0.050,1.000,1.015,3
5,10.014,462471,22657,1048,4,1000,0.100,0.050,1.000,1.018,4
6,11.458,527855,25923,1176,5,1000,0.100,0.050,1.000,1.017,5
7,9.265,428703,20962,933,6,1000,0.100,0.050,1.000,1.014,6
8,9.174,424941,20755,990,7,1000,0.100,0.050,1.000,1.016,7
9,11.071,510655,25048,1102,8,1000,0.100,0.050,1.000,1.025,8
10,8.916,412864,20171,916,9,1000,0.100,0.050,1.000,1.025,9
1,10.559,522703,25670,1184,0,1000,0.100,0.050,1.000,1.022,0
2,14.702,724216,35744,1737,1,1000,0.100,0.050,1.000,1.027,1
