Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
1,5.535,488531,23961,1132,0,1000,0.100,0.050,1.000,1.022,0
2,6.902,607117,29878,1355,10,1000,0.100,0.050,1.000,1.021,10
3,7.810,685910,33806,1568,20,1000,0.100,0.050,1.000,1.024,20
4,7.069,621631,30599,1297,30,1000,0.100,0.050,1.000,1.019,30
5,9.564,837714,41402,1871,40,1000,0.100,0.050,1.000,1.023,40
6,8.677,760689,37563,1636,50,1000,0.100,0.050,1.000,1.018,50
7,12.009,1049346,51985,2321,60,1000,0.100,0.050,1.000,1.046,60
8,10.960,958314,47445,2065,70,1000,0.100,0.050,1.000,1.025,70
9,12.595,1099597,54523,2267,80,1000,0.100,0.050,1.000,1.029,80
10,18.878,1643788,81721,3752,90,1000,0.100,0.050,1.000,1.048,90
1,4.045,363708,17707,787,0,1000,0.100,0.050,1.000,1.022,0
2,5.354,478253,23438,1008,10,1000,0.100,0.050,1.000,1.017,10
3,6.943,617640,30394,1397,20,1000,0.100,0.050,1.000,1.018,20
4,6.912,614375,30255,1334,30,1000,0.100,0.050,1.000,1.023,30
5,9.336,827150,40866,1813,40,1000,0.100,0.050,1.000,1.031,40
6,13.057,1152673,57157,2542,50,1000,0.100,0.050,1.000,1.034,50
7,10.558,933993,46218,1891,60,1000,0.100,0.050,1.000,1.025,60
8,12.434,1098253,54429,2416,70,1000,0.100,0.050,1.000,1.035,70
9,14.068,1241146,61580,2838,80,1000,0.100,0.050,1.000,1.039,80
10,17.292,1523275,75694,3288,90,1000,0.100,0.050,1.000,1.043,90
1,4.641,399646,19501,924,0,1000,0.100,0.050,1.000,1.018,0
2,5.864,502176,24638,1199,10,1000,0.100,0.050,1.000,1.027,10
3,5.703,488550,23962,1067,20,1000,0.100,0.050,1.000,1.029,20
4,7.717,657903,32427,1583,30,1000,0.100,0.050,1.000,1.026,30
5,8.955,762137,37628,1676,40,1000,0.100,0.050,1.000,1.024,40
6,12.355,1047710,51915,2450,50,1000,0.100,0.050,1.000,1.039,50
