Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
1,11.713,479719,23530,1100,0,1000,0.100,0.050,1.000,1.022,0
2,9.081,373935,18243,853,0,1000,0.100,0.050,1.000,1.015,0
3,10.287,422731,20665,958,0,1000,0.100,0.050,1.000,1.018,0
4,11.255,461621,22610,1062,0,1000,0.100,0.050,1.000,1.017,0
5,10.082,414332,20254,939,0,1000,0.100,0.050,1.000,1.019,0
6,8.021,331190,16113,719,0,1000,0.100,0.050,1.000,1.017,0
7,7.797,322634,15664,729,0,1000,0.100,0.050,1.000,1.014,0
8,10.312,423852,20715,958,0,1000,0.100,0.050,1.000,1.018,0
9,13.778,562957,27679,1354,0,1000,0.100,0.050,1.000,1.017,0
10,7.675,317564,15418,707,0,1000,0.100,0.050,1.000,1.020,0
1,8.602,366383,17853,814,0,1000,0.100,0.050,1.000,1.016,0
2,11.498,486521,23864,1073,0,1000,0.100,0.050,1.000,1.018,0
3,12.367,522739,25668,1203,0,1000,0.100,0.050,1.000,1.020,0
4,11.486,486282,23839,1084,0,1000,0.100,0.050,1.000,1.023,0
5,11.267,477382,23386,1109,0,1000,0.100,0.050,1.000,1.019,0
6,8.677,369400,18009,777,0,1000,0.100,0.050,1.000,1.016,0
7,8.726,371212,18111,822,0,1000,0.100,0.050,1.000,1.014,0
8,8.711,370850,18080,836,0,1000,0.100,0.050,1.000,1.018,0
9,7.938,338944,16476,768,0,1000,0.100,0.050,1.000,1.018,0
10,10.729,454576,22268,1042,0,1000,0.100,0.050,1.000,1.018,0
1,10.358,464688,22767,1053,0,1000,0.100,0.050,1.000,1.023,0
2,9.861,442463,21675,1013,0,1000,0.100,0.050,1.000,1.020,0
3,9.264,416876,20362,916,0,1000,0.100,0.050,1.000,1.019,0
4,7.815,352651,17177,790,0,1000,0.100,0.050,1.000,1.016,0
5,11.445,512551,25158,1251,0,1000,0.100,0.050,1.000,1.021,0
6,9.955,446852,21882,1016,0,1000,0.100,0.050,1.000,1.021,0
7,10.972,491829,24117,1154,0,1000,0.100,0.050,1.000,1.024,0
8,9.636,432813,21180,1009,0,1000,0.100,0.050,1.000,1.016,0
9,9.178,412825,20174,915,0,1000,0.100,0.050,1.000,1.020,0
10,11.517,515616,25316,1181,0,1000,0.100,0.050,1.000,1.019,0
1,11.183,509386,25001,1136,0,1000,0.100,0.050,1.000,1.022,0
2,11.083,504876,24777,1170,0,1000,0.100,0.050,1.000,1.025,0
3,10.814,492981,24175,1172,0,1000,0.100,0.050,1.000,1.017,0
4,10.785,491627,24110,1134,0,1000,0.100,0.050,1.000,1.019,0
5,9.827,448864,21969,1022,0,1000,0.100,0.050,1.000,1.016,0
6,10.032,457630,22428,1039,0,1000,0.100,0.050,1.000,1.020,0
7,8.839,404543,19761,937,0,1000,0.100,0.050,1.000,1.016,0
8,7.672,352298,17152,846,0,1000,0.100,0.050,1.000,1.018,0
9,10.588,482977,23670,1149,0,1000,0.100,0.050,1.000,1.018,0
10,9.176,419795,20514,932,0,1000,0.100,0.050,1.000,1.021,0
1,10.775,466856,22865,1090,0,1000,0.100,0.050,1.000,1.016,0
2,12.348,533472,26202,1214,0,1000,0.100,0.050,1.000,1.017,0
3,7.166,313522,15207,665,0,1000,0.100,0.050,1.000,1.015,0
4,10.797,467719,22911,1078,0,1000,0.100,0.050,1.000,1.020,0
5,10.996,475695,23333,1135,0,1000,0.100,0.050,1.000,1.025,0
6,8.747,380778,18560,843,0,1000,0.100,0.050,1.000,1.013,0
7,11.583,501404,24578,1206,0,1000,0.100,0.050,1.000,1.019,0
