Account,Influence Score,Popularity,Bot Followers
1,9.108,1.019,0
2,7.476,1.019,1
3,9.022,1.016,2
4,9.692,1.021,3
5,10.825,1.023,4
6,11.852,1.022,5
7,8.069,1.019,6
8,10.851,1.016,7
9,10.551,1.021,8
10,12.554,1.023,9
1,12.301,1.026,0
2,9.137,1.021,1
3,10.534,1.024,2
4,6.792,1.014,3
5,10.736,1.024,4
6,11.653,1.024,5
7,9.971,1.023,6
8,10.966,1.018,7
9,11.376,1.020,8
10,6.534,1.014,9
1,8.987,1.021,0
2,7.536,1.016,1
3,10.844,1.016,2
4,8.994,1.020,3
5,8.949,1.017,4
6,10.048,1.020,5
7,9.950,1.021,6
8,8.770,1.018,7
9,12.273,1.018,8
10,13.649,1.020,9
1,7.687,1.015,0
2,10.413,1.019,1
3,13.009,1.023,2
4,10.711,1.018,3
5,8.273,1.019,4
6,11.845,1.028,5
7,9.310,1.015,6
8,9.152,1.024,7
9,10.504,1.026,8
10,9.096,1.020,9
1,9.456,1.015,0
2,7.463,1.019,1
3,11.138,1.026,2
4,10.737,1.021,3
5,11.729,1.032,4
6,8.330,1.020,5
7,8.504,1.024,6
8,10.046,1.020,7
9,12.896,1.019,8
10,9.701,1.024,9
1,10.772,1.015,0
2,10.757,1.020,1
3,7.509,1.016,2
4,8.846,1.016,3
5,8.712,1.018,4
6,10.779,1.015,5
7,10.158,1.018,6
8,9.746,1.014,7
9,11.032,1.018,8
10,11.689,1.017,9
1,8.418,1.017,0
2,8.713,1.023,1
3,10.268,1.015,2
4,9.648,1.022,3
5,7.587,1.015,4
6,8.248,1.024,5
7,10.822,1.022,6
8,13.305,1.027,7
9,11.266,1.023,8
10,11.724,1.022,9
1,7.452,1.016,0
2,8.815,1.018,1
3,10.596,1.022,2
4,11.174,1.025,3
5,9.067,1.018,4
6,11.819,1.024,5
7,9.397,1.021,6
8,12.268,1.018,7
9,10.234,1.022,8
10,9.177,1.017,9
1,8.536,1.015,0
2,10.567,1.020,1
3,8.734,1.018,2
4,9.850,1.017,3
5,9.469,1.020,4
6,9.101,1.022,5
7,9.793,1.015,6
8,10.042,1.017,7
9,10.519,1.018,8
10,13.389,1.024,9
1,9.498,1.027,0
2,7.952,1.021,1
3,10.053,1.018,2
4,9.843,1.019,3
5,11.217,1.021,4
6,10.430,1.018,5
7,8.454,1.017,6
8,8.684,1.025,7
9,11.407,1.027,8
10,12.462,1.020,9
1,8.155,1.023,0
2,9.701,1.016,1
3,11.000,1.026,2
4,8.977,1.019,3
5,13.020,1.025,4
6,8.244,1.017,5
7,7.385,1.015,6
8,10.861,1.025,7
9,12.144,1.028,8
10,10.513,1.021,9
1,8.070,1.017,0
2,10.601,1.016,1
3,9.955,1.026,2
4,8.568,1.017,3
5,9.729,1.016,4
6,10.571,1.020,5
7,10.759,1.016,6
8,8.976,1.021,7
9,11.474,1.021,8
10,11.297,1.018,9
1,8.400,1.019,0
2,9.516,1.020,1
3,10.291,1.017,2
4,10.966,1.016,3
5,11.935,1.024,4
6,9.880,1.018,5
7,8.192,1.016,6
8,7.442,1.017,7
9,9.648,1.017,8
10,13.730,1.019,9
1,9.607,1.019,0
2,7.207,1.013,1
3,10.151,1.019,2
4,8.756,1.019,3
5,7.508,1.018,4
6,11.344,1.022,5
7,10.273,1.018,6
8,10.045,1.021,7
9,12.415,1.024,8
10,12.694,1.017,9
1,8.540,1.013,0
2,10.152,1.021,1
3,10.278,1.022,2
4,9.764,1.020,3
5,11.872,1.022,4
6,10.403,1.023,5
7,10.473,1.015,6
8,9.787,1.013,7
9,8.262,1.017,8
10,10.468,1.016,9
1,8.642,1.020,0
2,8.886,1.015,1
3,8.374,1.017,2
4,9.900,1.020,3
5,10.599,1.024,4
6,11.847,1.025,5
