Account,Influence Score
1,0.661
2,2.005
3,3.636
4,6.372
5,7.607
6,9.780
7,12.966
8,18.404
9,23.271
10,15.297
1,0.760
2,1.830
3,4.328
4,5.533
5,8.321
6,9.337
7,12.661
8,17.884
9,21.496
10,17.853
1,0.451
2,2.461
3,4.221
4,5.993
5,8.673
6,10.965
7,13.948
8,14.386
9,14.920
10,23.982
1,0.750
2,2.477
3,3.529
4,6.745
5,9.171
6,11.257
7,14.082
8,14.385
9,16.401
10,21.203
1,0.709
2,2.140
3,4.165
4,5.709
5,8.894
6,10.542
7,13.522
8,13.638
9,21.626
10,19.055
1,0.650
2,2.283
3,4.182
4,5.550
5,6.676
6,9.172
7,15.977
8,15.915
9,21.694
10,17.901
1,0.483
2,1.919
3,3.285
4,4.718
5,7.421
6,7.950
7,11.359
8,22.707
9,15.236
10,24.923
1,0.646
2,2.387
3,3.839
4,6.558
5,7.451
6,11.243
7,13.520
8,18.645
9,18.295
10,17.416
1,0.599
2,1.726
3,3.202
4,5.742
5,6.423
6,8.581
7,11.162
8,19.781
9,19.623
10,23.161
1,0.608
2,1.766
3,3.466
4,5.886
5,6.211
6,11.960
7,15.760
8,19.292
9,14.964
10,20.089
