Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
1,11.680,4765828,302052,13230,599,589,0.449,0.063,0.692,1.148,
2,37.686,4104103,974589,11487,768,535,0.568,0.238,0.668,1.118,
3,21.793,6583657,563596,18393,680,643,0.557,0.086,0.753,1.210,
4,1.471,2558819,38048,7494,351,524,0.636,0.015,0.637,1.081,
5,4.920,1614901,127239,4704,202,520,0.628,0.079,0.629,1.058,
6,11.536,7192039,298342,21450,736,552,0.550,0.042,0.680,1.235,
7,3.543,815184,91619,2507,287,364,0.561,0.113,0.424,1.024,
8,1.003,2374353,25937,7226,979,349,0.531,0.011,0.402,1.087,
9,0.478,2258849,12366,6282,805,431,0.367,0.006,0.548,1.081,
10,5.889,2939117,152297,8505,595,498,0.414,0.052,0.614,1.117,
1,38.231,9732002,667742,28113,952,659,0.405,0.069,0.665,1.276,
2,15.602,4306083,272509,12454,851,500,0.518,0.063,0.506,1.135,
3,0.636,627532,11111,1815,229,385,0.402,0.018,0.377,1.037,
4,2.136,468162,37313,1449,221,320,0.529,0.080,0.310,1.018,
5,7.620,2574235,133088,6921,934,441,0.342,0.052,0.450,1.099,
6,1.353,631444,23623,1621,27,773,0.330,0.038,0.772,1.021,
7,0.644,292252,11248,874,63,424,0.573,0.039,0.409,1.020,
8,32.320,13065014,564500,42535,875,622,0.500,0.043,0.605,1.462,
9,1.381,327557,24129,916,38,487,0.353,0.074,0.466,1.021,
10,0.076,186147,1333,603,3,392,0.568,0.008,0.384,1.017,
1,24.795,2348633,253330,6700,947,400,0.331,0.108,0.390,1.079,
2,0.770,536136,7866,1706,250,295,0.583,0.015,0.299,1.023,
3,5.640,7655149,57622,21733,904,600,0.513,0.008,0.583,1.222,
4,0.373,250161,3812,690,0,591,0.365,0.016,0.578,1.016,
5,8.828,2411087,90196,7210,318,538,0.581,0.038,0.522,1.088,
6,5.667,941279,57897,2882,244,435,0.515,0.062,0.427,1.038,
7,2.105,2047744,21504,5459,394,566,0.386,0.011,0.544,1.064,
8,2.447,5331708,25003,14416,748,595,0.336,0.005,0.566,1.166,
9,19.311,2386256,197301,6513,831,452,0.459,0.083,0.440,1.061,
10,30.065,3880052,307169,10409,658,529,0.380,0.079,0.523,1.115,
1,8.627,4221394,164459,12787,601,541,0.528,0.039,0.538,1.148,
2,22.147,3712595,422197,10774,807,482,0.486,0.114,0.437,1.119,
3,9.614,3675226,183281,9984,436,642,0.498,0.050,0.595,1.102,
4,4.572,1958836,87159,5448,573,486,0.400,0.045,0.460,1.059,
5,20.824,3808694,396990,10593,669,534,0.417,0.104,0.521,1.105,
6,3.559,1244177,67856,4014,585,296,0.698,0.055,0.282,1.047,
7,26.254,3641513,500509,10156,913,483,0.411,0.138,0.457,1.105,
8,2.746,1925753,52343,5762,329,484,0.589,0.027,0.435,1.072,
9,0.580,472330,11054,1370,37,505,0.692,0.024,0.488,1.023,
10,1.077,673850,20530,1997,71,550,0.525,0.031,0.533,1.025,
1,10.304,4357655,92411,13988,810,416,0.738,0.021,0.410,1.141,
2,17.280,2055259,154970,6177,934,345,0.553,0.075,0.350,1.066,
3,4.201,6475268,37676,18789,849,540,0.591,0.006,0.515,1.195,
4,0.828,2172041,7423,5646,312,643,0.442,0.004,0.605,1.061,
5,2.570,194008,23046,591,23,422,0.483,0.120,0.389,1.017,
6,5.347,3332228,47958,9336,427,616,0.438,0.014,0.590,1.121,
7,18.085,4530557,162195,12366,564,628,0.393,0.036,0.623,1.144,
8,8.451,1047893,75790,3186,243,412,0.633,0.073,0.390,1.038,
9,30.755,3042228,275820,9188,790,433,0.446,0.091,0.454,1.107,
10,2.180,2312410,19552,5930,527,546,0.276,0.009,0.520,1.052,
1,8.257,2769045,76887,8150,563,476,0.513,0.028,0.524,1.073,
2,37.731,6401788,351329,20960,489,519,0.818,0.055,0.581,1.220,
3,6.437,3254497,59935,9600,626,489,0.619,0.018,0.581,1.124,
4,3.907,442471,36377,1292,157,380,0.418,0.083,0.427,1.018,
5,7.110,1213588,66209,3606,182,478,0.652,0.055,0.533,1.040,
6,0.540,457270,5025,1297,57,496,0.545,0.012,0.580,1.020,
7,9.118,1220066,84906,3396,103,597,0.574,0.070,0.677,1.040,
8,17.170,2537573,159877,7082,388,526,0.515,0.063,0.613,1.073,
9,6.651,2881027,61927,8376,606,488,0.548,0.022,0.564,1.103,
10,3.080,873632,28677,2596,102,555,0.597,0.033,0.602,1.033,
1,0.851,1091162,9301,2975,401,452,0.393,0.009,0.475,1.037,
2,4.777,663558,52207,1899,147,455,0.479,0.079,0.491,1.027,
3,8.640,2650208,94415,7833,834,443,0.507,0.036,0.491,1.069,
4,4.220,735585,46110,2051,123,518,0.413,0.063,0.549,1.027,
5,0.049,151198,538,464,0,418,0.608,0.005,0.439,1.014,
6,51.536,4518785,563180,13070,716,543,0.422,0.125,0.558,1.165,
7,1.709,3605289,18676,9545,498,655,0.383,0.005,0.652,1.081,
8,5.462,2775478,59689,8119,998,409,0.429,0.022,0.439,1.078,
9,16.366,5518919,178849,15719,765,577,0.429,0.032,0.598,1.156,
10,6.389,875679,69817,2568,64,532,0.680,0.080,0.552,1.030,
1,9.974,1410080,29197,4044,271,492,0.640,0.021,0.529,1.049,
2,14.329,7605752,41945,22393,960,576,0.482,0.006,0.612,1.252,
3,6.369,5584242,18645,15128,744,613,0.409,0.003,0.661,1.156,
4,9.583,960913,28052,2595,80,610,0.499,0.030,0.632,1.036,
5,0.640,2056451,1874,5805,603,462,0.360,0.001,0.515,1.069,
6,12.379,518072,36237,1630,342,279,0.611,0.070,0.299,1.028,
7,18.287,7370930,53531,21915,400,675,0.689,0.007,0.716,1.241,
8,14.566,2334945,42638,6685,733,437,0.419,0.018,0.440,1.080,
9,8.204,3692702,24016,11098,667,453,0.614,0.007,0.479,1.102,
10,5.668,1419415,16591,4159,444,403,0.495,0.012,0.432,1.047,
1,0.338,497613,3854,1421,136,436,0.537,0.008,0.464,1.022,
2,0.648,2436629,7383,6691,253,617,0.558,0.003,0.594,1.080,
3,13.533,1302181,154115,3555,468,441,0.366,0.119,0.469,1.050,
4,2.586,1930169,29449,5406,730,426,0.372,0.015,0.439,1.054,
5,0.456,1127099,5191,3422,502,344,0.559,0.005,0.376,1.044,
6,17.833,9236986,203087,27170,915,622,0.551,0.022,0.642,1.261,
7,4.477,2034165,50979,5664,474,498,0.491,0.025,0.503,1.063,
8,28.536,2886295,324974,7933,575,541,0.374,0.113,0.547,1.085,
